Ve Sinh,Cham Soc,Y Te,Hoi Han,Bieu Dat,Khac
,đổi thở,,,,
,nhấc mông lên,,,,
,bóp tay ,,,,
,lắc lắc giúp ngón tay,,,,
,duỗi chân phải,,,,
,co một tí,,,,
,bót chân,,,,
,gãi nhẹ má trái ,,,,
,gãi gối trái,,,,
,đổi máy thở,,,,
,bỏ chăn ra  ,,,,
,ngón chân,,,,
,gãi nhẹ mặt dưới đùi phải giáp mông,,,,
,xoa bụng,,,,
,gãi mông phải  ,,,,
,gãi tay,,,,
,gãi tay phải,,,,
,lau miệng,,,,
,gãi nhẹ quanh gối,,,,
,gãi nhẹ quanh gối trái,,,,
,cho tí chăn,,,,
,xoa tí,,,,
,phủi nhẹ vành tai. ,,,,
,bóp bàn chân,,,,
,lật bàn chân lên,,,,
,bóp đầu gối,,,,
,vai nghiêng,,,,
,xoa gối tí,,,,
,xoa gối ,,,,
,thôi nghiêng,,,,
,duỗi co ngồi dậy ,,,,
,uống nước bằng thìa,,,,
,chỉ nhấp môi khoảng hai ba thìa.                 ,,,,
,lau ngực bên phải ,,,,
,gãi nhẹ chỏm cầu vai trái,,,,
,gãi cẳng tay trái,,,,
,đắp chăn,,,,
,lau dưới cằm,,,,
,bỏ bông tai ra,,,,
,tí nữa đánh răng,,,,
,tạm thời bỏ bông tai ra,,,,
,bóp đầu gối  ,,,,
,ăn xong uống cam,,,,
,kê đầu cao phía trước,,,,
,kê đầu,,,,
,ngoáy tai phải,,,,
,kéo xuống lót mông,,,,
,co phải,,,,
,lót lại cả lưng cả mông ,,,,
,nghiêng tai,,,,
,xoa nhè nhẹ ngón cái chân ,,,,
,đeo kính,,,,
,xoa gan bàn chân,,,,
,lên chăn,,,,
,co dũi ,,,,
,ngồi dậy thay bỉm,,,,
,nằm xuống,,,,
