Hand motion injury,Leg motion injury
lúc vai xong anh cứ để đầu yên như vật ,lúc vai xong anh cứ để đầu yên như vật 
đừng kéo nó ra ngoài,đừng kéo nó ra ngoài
hôm nay ăn gì,hôm nay ăn gì
gãi mặt dưới mông trái giáp đùi,gãi mặt dưới mông trái giáp đùi
một chỗ đó thôi,một chỗ đó thôi
mạnh lên       ,mạnh lên       
bỏ kê đầu,bỏ kê đầu
gần sáng tôi thấy anh trở mình ,gần sáng tôi thấy anh trở mình 
lúc nào trở mình anh nhìn qua tôi một tí ,lúc nào trở mình anh nhìn qua tôi một tí 
nếu thấy một chân tôi duỗi thẳng ra thì nghĩa máy đang hỏng ,nếu thấy một chân tôi duỗi thẳng ra thì nghĩa máy đang hỏng 
anh dậy bấm giúp,anh dậy bấm giúp
kê vào,kê vào
kê ra,kê ra
thấp thôi,thấp thôi
gãi lật phía trên lệch phải một tí,gãi lật phía trên lệch phải một tí
thở lên mức bốn,thở lên mức bốn
đắp tí chăn,đắp tí chăn
đi tè,đi tè
bật đèn ,bật đèn 
thở bình ,thở bình 
đổi bình thở,đổi bình thở
mức bốn,mức bốn
mức năm,mức năm
đổi bình,đổi bình
bật quạt số nhỏ,bật quạt số nhỏ
xoay ra ngoài,xoay ra ngoài
ít chăn thôi,ít chăn thôi
bình còn không,bình còn không
bớt chăn ra,bớt chăn ra
máy  mức năm,máy  mức năm
đổi bình  mức ba,đổi bình  mức ba
yếu quá,yếu quá
bóp  một tí,bóp  một tí
nghiêng ba trăm sáu mươi độ nghiêng,nghiêng ba trăm sáu mươi độ nghiêng
thở bình mau lên,thở bình mau lên
thở máy mà còn không được nữa thì thôi,thở máy mà còn không được nữa thì thôi
to tí nữa,to tí nữa
Không cần hút đờm dãi đâu vì không có,Không cần hút đờm dãi đâu vì không có
lần này là do cơ quá yếu,lần này là do cơ quá yếu
lần này là do cơ quá yếu không hít thở được ,lần này là do cơ quá yếu không hít thở được 
gọi đổi,gọi đổi
loa mất điện,loa mất điện
cắm loa thật chặt vào,cắm loa thật chặt vào
mỗi làn đổi ga là phải chú ý điện của loa,mỗi làn đổi ga là phải chú ý điện của loa
phủi má mũi,phủi má mũi
hoặc là có lúc nó không tạo được ô xi,hoặc là có lúc nó không tạo được ô xi
vẫn tức ngực lắm ,vẫn tức ngực lắm 
bình trước,bình trước
thở bình không bỉm,thở bình không bỉm
mức mấy,mức mấy
xem lại đi cho chính xác,xem lại đi cho chính xác
bình hay máy tăng hay giảm là theo bài  ,bình hay máy tăng hay giảm là theo bài  
tăng thở   ,tăng thở   
duỗi xoa,duỗi xoa
xoa cổ chân,xoa cổ chân
nghiêng bình,nghiêng bình
kéo nệm ở lưng xuống mông,kéo nệm ở lưng xuống mông
gọi để đổi bình mới,gọi để đổi bình mới
gãi má trái ,gãi má trái 
gãi gối phải,gãi gối phải
đánh răng,đánh răng
bóp hai bàn chân,bóp hai bàn chân
kê đầu lên một tí,kê đầu lên một tí
đổi thở,đổi thở
khó thở lắm rồi  ,khó thở lắm rồi  
thay máy,thay máy
nhấc mông lên,nhấc mông lên
bóp tay ,bóp tay 
lắc lắc giúp ngón tay,lắc lắc giúp ngón tay
duỗi chân phải,duỗi chân phải
co một tí,co một tí
đi tiểu ,đi tiểu 
bót chân,bót chân
gãi nhẹ má trái ,gãi nhẹ má trái 
gãi gối trái,gãi gối trái
mở hé cửa,mở hé cửa
ống hút nước ,ống hút nước 
đổi máy thở,đổi máy thở
mức to nhất,mức to nhất
bỏ chăn ra  ,bỏ chăn ra  
nâng hạ,nâng hạ
nâng hạ vài lần,nâng hạ vài lần
ngón chân,ngón chân
bật ti vi,bật ti vi
gãi nhẹ mặt dưới đùi phải giáp mông,gãi nhẹ mặt dưới đùi phải giáp mông
qua giữa,qua giữa
xoa bụng,xoa bụng
tối uống thuốc xổ,tối uống thuốc xổ
gãi mông phải  ,gãi mông phải  
gãi tay,gãi tay
gãi tay phải,gãi tay phải
mở điều hòa,mở điều hòa
mở điều hòa thêm quạt,mở điều hòa thêm quạt
cho nước cam vào tủ lạnh cho mát,cho nước cam vào tủ lạnh cho mát
cả nước sôi nữa,cả nước sôi nữa
lau miệng,lau miệng
dạo này ăn uống kém chả thấy ngon dở gì nữa cả,dạo này ăn uống kém chả thấy ngon dở gì nữa cả
gãi nhẹ quanh gối,gãi nhẹ quanh gối
gãi nhẹ quanh gối trái,gãi nhẹ quanh gối trái
qua trái,qua trái
cho tí chăn,cho tí chăn
xoa tí,xoa tí
phủi nhẹ vành tai. ,phủi nhẹ vành tai. 
tắt máy,tắt máy
mở loa to,mở loa to
bóp bàn chân,bóp bàn chân
lật bàn chân lên,lật bàn chân lên
đi đâu ,đi đâu 
quạt phe phẩy  ,quạt phe phẩy  
bóp đầu gối,bóp đầu gối
vai nghiêng,vai nghiêng
xoa gối tí,xoa gối tí
xoa gối ,xoa gối 
thôi nghiêng,thôi nghiêng
duỗi co ngồi dậy ,duỗi co ngồi dậy 
uống nước bằng thìa,uống nước bằng thìa
chỉ nhấp môi khoảng hai ba thìa.                 ,chỉ nhấp môi khoảng hai ba thìa.                 
lót mông như thế này là vừa phải    ,lót mông như thế này là vừa phải    
ngồi dậy uống thuốc,ngồi dậy uống thuốc
lau ngực bên phải ,lau ngực bên phải 
gãi nhẹ chỏm cầu vai trái,gãi nhẹ chỏm cầu vai trái
gãi cẳng tay trái,gãi cẳng tay trái
cẩn thận đầy người,cẩn thận đầy người
đắp chăn,đắp chăn
lau dưới cằm,lau dưới cằm
bỏ bông tai ra,bỏ bông tai ra
tí nữa đánh răng,tí nữa đánh răng
tạm thời bỏ bông tai ra,tạm thời bỏ bông tai ra
không có hơi ra trong ống,không có hơi ra trong ống
vuốt ra,vuốt ra
tai đau,tai đau
bóp đầu gối  ,bóp đầu gối  
bóp đầu gối ,bóp đầu gối 
vỗ vỗ đập đập,vỗ vỗ đập đập
ăn xong uống cam,ăn xong uống cam
kê đầu cao phía trước,kê đầu cao phía trước
nhưng mà chỉ còn bốn mức,nhưng mà chỉ còn bốn mức
kê đầu,kê đầu
bôi cồn ,bôi cồn 
chắc chắn nguội rồi mới cho ăn ,chắc chắn nguội rồi mới cho ăn 
ngoáy tai phải,ngoáy tai phải
đừng lót lưng ,đừng lót lưng 
chỉ lót  mông thôi,chỉ lót  mông thôi
kéo xuống lót mông,kéo xuống lót mông
co phải,co phải
lót lại cả lưng cả mông ,lót lại cả lưng cả mông 
nghiêng tai,nghiêng tai
tắt máy ,tắt máy 
mở lại,mở lại
xoa nhè nhẹ ngón cái chân ,xoa nhè nhẹ ngón cái chân 
mấy giờ rồi,mấy giờ rồi
bôi thuốc ở mông và lưng,bôi thuốc ở mông và lưng
đeo kính,đeo kính
xoa bụng ,xoa bụng 
xoa gan bàn chân,xoa gan bàn chân
lên chăn,lên chăn
co dũi ,co dũi 
nhấc hạ ,nhấc hạ 
ngồi dậy thay bỉm,ngồi dậy thay bỉm
đái rồi,đái rồi
chưa cần đang đi mà,chưa cần đang đi mà
thấp xuống,thấp xuống
móc ra,móc ra
bỏ thấp xuống,bỏ thấp xuống
nằm xuống,nằm xuống
tè túi nylon,tè túi nylon
máy mở cửa ra,máy mở cửa ra
mức cao nhất,mức cao nhất
